property_title,property_name,property_region,price_ttl,price_sqm,bedrooms,livingrooms,building_area,directions1,directions2,decoration,hml,building_height,building_year,building_style,followers,pub_days,near_subway,two_year,taxfree,haskey,vr,price_date,building_age
花样年花样年大3房2卫 自带全屋空调 带子母车位 老证,花样年花样城,金银湖,105,8778,3,2,119.62,南,北,精装,中,24,NA,板楼,2,4个月,0,1,0,1,NA,2024-01-31,NA
百瑞景二期小高层 精装修三房两卫 满两年 南北通透,百瑞景中央生活区二期西区,中南丁字桥,398,29528,3,2,134.79,南,北,精装,低,11,NA,板楼,7,6个月,0,0,1,1,VR看装修,2024-01-31,NA
君安花园 婚房装潢 拎包入住 老证 中间楼层,君安花园,塔子湖,120,13594,3,2,88.28,南,北,精装,中,11,NA,板塔结合,4,9个月,1,1,0,1,VR看装修,2024-01-31,NA
武昌滨江商务区 精装修两房 诚心出售,融侨城,杨园,160,19601,2,2,81.63,南,,精装,低,33,NA,板塔结合,3,5个月,1,1,0,1,VR看装修,2024-01-31,NA
滨湖名都城二期 南北通透大三居 中间层 业主自住精装,滨湖名都城,中南丁字桥,238,17114,3,2,139.07,南,北,简装,中,12,NA,板楼,11,NA,1,0,1,1,VR看装修,2024-01-31,NA
锦绣龙城满年开阔两房随时看房随时签约,锦绣龙城,民族大道,98,11758,2,2,83.35,东南,,精装,中,18,NA,塔楼,6,6个月,0,1,0,1,NA,2024-01-31,NA
汉飞向上城花园洋房保养好复式两层精装45万,汉飞向上城,盘龙城,45,13486,3,2,33.37,南,北,精装,中,5,NA,板楼,13,3个月,0,0,1,1,NA,2024-01-31,NA
此房精装修，配套齐全，交通便利,美联奥林匹克花园一期,常青花园,115,13818,3,2,83.23,南,,精装,中,11,NA,板楼,7,10个月,1,0,1,1,VR看装修,2024-01-31,NA
此房满二 税费少 装修很好 业主诚心卖,保利城一期,团结大道,134,14870,2,2,90.12,南,,精装,低,34,NA,板塔结合,6,3个月,0,1,0,1,VR看装修,2024-01-31,NA
徐东汪家墩群星城旁高层精装两房方正格局,宝业徐东雅苑,徐东,128,16187,2,1,79.08,南,,精装,高,31,NA,板楼,2,4个月,1,1,0,1,VR看装修,2024-01-31,NA
满五唯一 无抵押 通透东边户 毛坯 看房方便 诚售,现代城三区,百步亭,189,17061,3,2,110.78,南,北,毛坯,低,31,NA,板塔结合,8,4个月,0,0,1,1,VR看装修,2024-01-31,NA
毛坯可装修满二，看房方便，诚心卖,江南·新天地(洪山),团结大道,78,10362,2,1,75.28,南,东,毛坯,低,33,NA,板楼,16,9个月,0,1,0,1,VR看装修,2024-01-31,NA
爱家公馆两房 高楼层 采光好 视野开阔,爱家皇家公馆,团结大道,125,16368,2,2,76.37,南,,精装,高,26,NA,板楼,6,3个月,1,0,1,1,NA,2024-01-31,NA
F阳光城 全新精装两房 老证 中间楼层 看房提前联系,F阳光城,盘龙城,68,7103,2,2,95.74,南,,精装,中,24,NA,塔楼,6,NA,0,1,0,1,VR看装修,2024-01-31,NA
花北小区 中间楼层，采光好，无遮挡,花北小区,后湖,98,11479,3,1,85.38,南,北,简装,低,7,NA,塔楼,32,NA,1,0,1,1,NA,2024-01-31,NA
鹏湖湾 精装小3房 南面无遮挡 满两年 诚心出售,鹏湖湾,文化大道,115,12467,3,2,92.25,南,,精装,中,28,NA,塔楼,2,NA,1,1,0,1,VR看装修,2024-01-31,NA
产权满五唯，一无抵押，中高层西边户，低公摊，三阳台,绿地国际金融城二期,积玉桥,365,26001,3,2,140.38,南,北,毛坯,中,32,NA,板塔结合,10,3个月,1,0,1,1,VR看装修,2024-01-31,NA
此房东边户格局好，视野开阔，采光充足，楼层好满两年,保利公园九里,老南湖,180,16470,3,2,109.29,南,北,毛坯,高,33,NA,板楼,20,NA,0,1,0,1,VR看装修,2024-01-31,NA
王家湾 朗诗原精装交付 品质两房 双阳台 采光日照好,朗诗绿色街区,王家湾,111,14087,2,2,78.8,南,,精装,低,33,NA,板楼,2,7个月,1,1,0,1,VR看装修,2024-01-31,NA
公馆自住精装小2房，明厨明卫 诚售,保利中央公馆,新南湖,133,16613,2,1,80.06,南,,精装,中,33,NA,塔楼,4,NA,1,1,0,1,VR看装修,2024-01-31,NA
新城璟悦城 高楼层 居家装修 采光好,新城璟悦城,四新,135,14393,3,2,93.8,南,北,精装,高,34,NA,板楼,3,11个月,0,0,1,1,VR看装修,2024-01-31,NA
一梯两户，满二，通透三户型，税低,南湖雅园,珞狮南路,158,16922,3,2,93.37,南,北,其他,高,12,NA,板楼,4,7个月,0,0,1,1,VR看装修,2024-01-31,NA
鼎盛华城 2室2厅 东南,鼎盛华城,后湖,129,16371,2,2,78.8,东南,,简装,高,17,NA,板塔结合,4,3个月,0,0,1,1,VR看装修,2024-01-31,NA
奥山商圈 楼层好 满五唯一 后期税费低 随时看急售,钢都花园127街坊,青山,89,12174,2,2,73.11,南,,简装,中,6,NA,板楼,0,7个月,1,0,1,0,VR看装修,2024-01-31,NA
国创光谷上城，地铁口，环境优美，日照充足，生活便捷,国创光谷上城,光谷东,145,19054,2,2,76.1,南,,简装,高,33,NA,板楼,0,4个月,1,1,0,1,VR看装修,2024-01-31,NA
光谷步行街 户型房子，带大阳台,加州阳光,光谷广场,145,13048,3,1,111.13,南,,简装,低,32,NA,板楼,16,4个月,0,0,1,1,NA,2024-01-31,NA
万科嘉园 品牌物业 中高楼层视野好 配套齐全 精装修,万科嘉园,华科大,140,16054,3,2,87.21,南,,其他,高,26,NA,板塔结合,0,10个月,0,1,0,1,VR看装修,2024-01-31,NA
南北通透 3房2厅2卫 近地铁口，老证税费低,沿海丽水佳园,金银湖,91,7958,3,2,114.36,南,北,其他,中,6,NA,板塔结合,5,NA,1,0,1,1,VR看装修,2024-01-31,NA
锦江国际城精装三居室，产权清晰可过户,锦江国际城,积玉桥,360,26390,3,2,136.42,南,,精装,高,28,NA,板楼,6,11个月,1,0,1,1,VR看装修,2024-01-31,NA
选它，就选它，毛坯房，老证，高楼层，！,枫桦苇岸,沌口,87,7572,3,2,114.9,南,北,毛坯,中,33,NA,板楼,0,11个月,0,1,0,1,VR看装修,2024-01-31,NA
沙湖畔 徐东商圈 交通便利 园林式小区 看房方便,都市经典,沙湖,248,20696,3,2,119.83,南,,精装,高,18,NA,板塔结合,7,10个月,1,0,1,1,NA,2024-01-31,NA
保利茉莉公馆安静楼栋 居家装修 满五年唯一 诚心出售,保利茉莉公馆,关山大道,150,21074,2,2,71.18,南,,精装,高,34,NA,板塔结合,4,7个月,0,0,1,1,VR看装修,2024-01-31,NA
东湖城二期50万精装修4房通透户型证满2年急售259万,福星惠誉东湖城二期,东湖东亭,259,20086,4,2,128.95,南,,精装,高,32,NA,板塔结合,4,3个月,1,1,0,1,NA,2024-01-31,NA
二环理公馆旁 春林庭苑 住宅电梯小高层 近地铁 不临街,春林庭苑,街道口,157,12667,3,2,123.95,东,南,简装,低,13,NA,板塔结合,2,4个月,0,0,1,1,NA,2024-01-31,NA
二环边 精装修一天未住 中间好楼层 安静无噪音 随时看,福星城北区,长港路,118,14968,2,1,78.84,东南,,其他,中,45,NA,板楼,10,5个月,0,1,0,1,VR看装修,2024-01-31,NA
东湖御院 精装拎包入住的二房 诚心卖 看房随时,东湖御院,光谷广场,140,25158,2,1,55.65,南,北,精装,33层,NA,NA,塔楼,9,10个月,1,0,1,1,VR看装修,2024-01-31,NA
王家湾精装修两室，拎包即住，业主诚心出售，随时看房,中国铁建国际城,王家湾,112,13351,2,2,83.89,南,,精装,中,32,NA,板楼,5,10个月,1,0,1,1,VR看装修,2024-01-31,NA
海虹景复式楼 带储物间 南北通透 小高层,海虹景,唐家墩,213,19294,4,2,110.4,南,北,简装,高,11,NA,板楼,22,5个月,1,0,1,1,NA,2024-01-31,NA
中间楼层，看湖景，精装修，产证满两年。,恒大首府,积玉桥,239,22828,3,2,104.7,东南,,精装,中,38,NA,板塔结合,7,6个月,1,1,0,0,VR看装修,2024-01-31,NA
婚房精装修 拎包入住 通透三房 楼层采光好 户型方正,龙源映象,后官湖,84,6574,3,1,127.78,南,,精装,高,32,NA,板塔结合,3,3个月,0,1,0,1,VR看装修,2024-01-31,NA
复兴路 居家二房 中间楼层 户型通透,首义新村,首义,79,10720,2,1,73.7,南,北,精装,高,8,NA,板楼,12,6个月,1,0,1,1,NA,2024-01-31,NA
经典三房，全新未入住，业主诚心出售,恒大龙城,盘龙城,85,6672,3,2,127.4,南,,其他,低,12,NA,板楼,5,9个月,1,1,0,1,VR看装修,2024-01-31,NA
光谷步行街C位 低总价三房 业主急售 看房随时找我,风度柏林,光谷广场,105,10995,3,2,95.5,南,,精装,中,33,NA,板塔结合,24,NA,0,1,0,1,VR看装修,2024-01-31,NA
正地铁口 中间楼层 小区车位充足 满两年 业主急售,宝安花园,老南湖,245,23184,3,2,105.68,南,北,简装,中,6,NA,板楼,3,5个月,1,1,0,1,NA,2024-01-31,NA
店长推荐 保利上城西区 正地铁口 精装房 诚意卖,保利上城西区,白沙洲,129,16354,2,2,78.88,南,,精装,高,38,NA,板塔结合,0,9个月,1,1,0,1,VR看装修,2024-01-31,NA
金色华府 精装电梯大三房老证 采光好 出行方便,金色华府,育才花桥,330,28963,3,2,113.94,南,北,简装,低,31,NA,板楼,9,10个月,1,0,1,1,VR看装修,2024-01-31,NA
店长推荐房源不临街地铁口安静舒适,新世纪宝安花园,老南湖,240,20414,3,2,117.57,南,北,简装,低,6,NA,板楼,3,3个月,1,0,1,1,VR看装修,2024-01-31,NA
通透的三房，毛坯自己可以装修，喜欢的风格，户型方正,金桥庭院,后湖,189,14991,3,2,126.08,南,北,毛坯,中,11,NA,板楼,1,3个月,0,1,0,1,VR看装修,2024-01-31,NA
急售，急售，急售，老证，税费少，采光好，保养好,越秀星汇君泊,塔子湖,149.5,16474,2,2,90.75,南,,精装,低,32,NA,板塔结合,4,NA,0,0,1,1,NA,2024-01-31,NA
此房满两年 产证在手，户型方正，采光好！即买即住。,保利清能西海岸南区,藏龙岛,113,10316,3,2,109.54,南,北,精装,低,27,NA,板楼,2,4个月,0,1,0,1,VR看装修,2024-01-31,NA
东湖天下，高楼层看湖三房，刘明过来开门,东湖天下,东湖东亭,370,23269,3,2,159.01,南,,精装,高,20,NA,塔楼,43,NA,1,0,1,1,VR看装修,2024-01-31,NA
业主自荐，装修好，楼层好，诚心卖,珩生领袖城,盘龙城,70,7573,3,2,92.44,南,,精装,高,11,NA,板楼,0,8个月,1,1,0,1,VR看装修,2024-01-31,NA
岳家嘴 双地铁口 英特独栋低楼层 朝南两房 随时看,英特小区,沙湖,134,13506,2,2,99.22,南,北,精装,低,7,NA,塔楼,17,NA,0,0,1,1,VR看装修,2024-01-31,NA
万科品质 地铁口三房 满两年 采光好 随时看房 诚心卖,万科朗苑,徐东,154,17761,3,2,86.71,东南,,精装,中,34,NA,板塔结合,11,NA,1,0,1,1,VR看装修,2024-01-31,NA
一线湖景 楼层好 视野开阔 采光充足,兰江公园里,盘龙城,105,8989,3,2,116.82,南,,精装,中,27,NA,板楼,4,5个月,1,0,1,1,VR看装修,2024-01-31,NA
南北通透 不临街 不吵，采光好，视野开阔，业主靠谱,鹦鹉花园,钟家村,161,12979,3,1,124.05,南,北,简装,高,8,NA,塔楼,1,11个月,0,0,1,1,VR看装修,2024-01-31,NA
双墩地铁站 次新房 三房 业主急售,时代新世界,宗关,215,20264,3,2,106.1,东南,,精装,高,46,NA,板楼,13,NA,1,1,0,1,VR看装修,2024-01-31,NA
地铁口低首付两房，精装修满两年,福志雅筑,文化大道,72,9681,2,2,74.38,南,,精装,低,25,NA,板塔结合,1,7个月,1,0,1,1,VR看装修,2024-01-31,NA
硚口解放大道 时代天骄精装朝南两房 业主诚售,时代天骄,宝丰崇仁,110,17196,2,2,63.97,南,,简装,低,22,NA,板楼,10,NA,1,1,0,1,NA,2024-01-31,NA
百瑞景六期 40万精装修 全屋空调暖气 证满五 拎包入住,百瑞景中央生活区六期,中南丁字桥,398,35030,3,2,113.62,南,北,精装,高,34,NA,板塔结合,9,3个月,0,0,1,1,VR看装修,2024-01-31,NA
同户型总价具有很大优势，业主自住装修,万科汉阳国际A区,王家湾,186,15653,3,2,118.83,西南,西,精装,中,34,NA,板楼,1,4个月,0,0,1,1,VR看装修,2024-01-31,NA
新华路万达商圈，菱角湖公园，交通方便，生活便捷。,华立新华时代,CBD西北湖,215,14738,3,1,145.89,南,北,简装,中,28,NA,板楼,3,NA,1,0,1,1,NA,2024-01-31,NA
次新小区 环境好 近地铁 楼层视野好 无遮挡,时代花园西区,中南丁字桥,185,21610,3,1,85.61,南,,简装,低,34,NA,暂无数据,2,2个月,0,0,0,1,VR看装修,2024-01-31,NA
七号线 中环星干线 清水毛坯 标准大三房 看房方便,中环星干线,常青路,100,10759,3,2,92.95,东南,,毛坯,高,18,NA,板楼,48,NA,1,1,0,1,VR看装修,2024-01-31,NA
房子是老证税费少 开发商装修 次新小区 业主诚意出售,时代新世界,宗关,335,21711,4,1,154.3,东南,,其他,低,46,NA,板楼,0,8个月,1,1,0,1,NA,2024-01-31,NA
业主自住装修 中间楼层 老证 业主诚心卖,泛海国际居住区樱海园,CBD西北湖,380,30847,3,2,123.19,东南,,精装,中,32,NA,塔楼,30,10个月,1,1,0,1,VR看装修,2024-01-31,NA
全明通透三房 老证税费低 业主急售,蔡家田B区（阳电里）,唐家墩,79,9974,3,1,79.21,南,北,简装,中,8,NA,板楼,4,4个月,0,0,1,1,NA,2024-01-31,NA
世茂物业 双地铁 有医院 有公园 随时看房,世茂云锦樱海园,白沙洲,160,15548,3,2,102.91,南,,毛坯,高,33,NA,板楼,0,7个月,0,1,0,1,VR看装修,2024-01-31,NA
五里墩商圈 通透大三房 老证 诚心出售 配套成熟,花前树下,七里庙,132,9725,3,1,135.74,南,北,简装,低,11,NA,板楼,2,11个月,1,0,1,1,NA,2024-01-31,NA
正规大三房户型 门口双地铁 诚心出售 带大露台,城开玉桥新都,积玉桥,275,19768,3,2,139.12,南,,精装,低,23,NA,板塔结合,11,7个月,0,0,1,1,VR看装修,2024-01-31,NA
创意天地旁 心语一期经典大两房 满五中高楼层 诚售,保利心语一期,珞狮南路,120,14143,2,2,84.85,东,东南,简装,高,18,NA,板楼,7,NA,1,0,1,1,VR看装修,2024-01-31,NA
现代森林小镇 边户通透两室 一梯两户 自住保养好,现代森林小镇,金融港,189,22860,2,1,82.68,南,北,精装,高,11,NA,板楼,6,3个月,1,0,1,1,VR看装修,2024-01-31,NA
带车位 凤凰层看江三房两卫 东边户日晒佳 老证,六合新界,三阳路,350,28907,3,2,121.08,西南,,其他,高,25,NA,板楼,3,4个月,1,0,1,1,NA,2024-01-31,NA
居家精装修大四房，中间楼层，产证满五，拎包入住,半岛花园,珞狮南路,135,9574,4,2,141.02,南,北,精装,中,6,NA,板楼,40,NA,0,0,1,1,NA,2024-01-31,NA
二环内宗关站武地万科澄园 精装两室 新小区 空房诚售,武地万科澄园,宗关,130,15573,2,1,83.48,南,,精装,低,51,NA,板塔结合,2,11个月,1,1,0,1,VR看装修,2024-01-31,NA
太平洋中建御景星城，高楼层，视野采光好诚心出售！,中建御景星城,宗关,168,18894,2,2,88.92,南,北,毛坯,高,33,NA,暂无数据,0,7个月,1,0,1,1,VR看装修,2024-01-31,NA
静安上城新装两房中间楼层视野采光无遮挡,静安上城,武昌火车站,145,16339,2,2,88.75,南,,精装,高,23,NA,塔楼,16,NA,0,0,1,1,NA,2024-01-31,NA
此房产证满二 后期税费少 配套齐全,星悦城华廷,塔子湖,139,12042,3,2,115.43,南,北,其他,低,34,NA,板塔结合,2,4个月,0,0,1,1,VR看装修,2024-01-31,NA
满二，生活便利，小洋房采光好，低公摊,青菱城市花园二期,白沙洲,68.5,7669,3,1,89.33,东南,南,简装,低,11,NA,板楼,6,2个月,0,0,0,1,VR看装修,2024-01-31,NA
老证 精装 江景 随时看 中间层,世茂锦绣长江二期,钟家村,462,23915,4,1,193.19,南,北,精装,中,54,NA,板楼,11,8个月,1,0,1,1,NA,2024-01-31,NA
小区中间位置，户型方正无贷款，诚心出售看房方便,巴黎豪庭,华科大,288,21668,3,2,132.92,南,北,简装,中,24,NA,板塔结合,3,4个月,1,0,1,1,NA,2024-01-31,NA
店长推荐：一梯一户小高层洋房 保利品质物业,保利香颂三期,王家湾,200,18562,3,2,107.75,南,,其他,高,18,NA,板楼,1,2个月,1,0,0,1,VR看装修,2024-01-31,NA
高新二路 光谷满庭春 113平三房两卫 30多万自住精装,光谷满庭春MOMA,光谷东,168,14922,3,2,112.59,南,北,精装,低,34,NA,板楼,30,NA,0,1,0,1,VR看装修,2024-01-31,NA
万达天街旁 老证无贷款 采光地段好诚售,三金鑫城国际聚福苑,CBD西北湖,188,15841,3,2,118.68,南,,精装,低,31,NA,板塔结合,6,6个月,1,0,1,1,VR看装修,2024-01-31,NA
紫菘枫林上城南北通 透外边户两室改三室业主诚心出售,紫菘枫林上城,民族大道,170,15175,3,2,112.03,南,北,简装,低,26,NA,塔楼,1,5个月,0,0,1,1,NA,2024-01-31,NA
轻轨旁，96平大两房，中间楼层，单价7千多随时看房,商地小区,吴家山,62,6414,2,2,96.67,南,,其他,高,7,NA,塔楼,1,4个月,1,0,1,1,VR看装修,2024-01-31,NA
无噪音，看小区园林。无噪音，看小区园林。,泛海国际居住区樱海园,CBD西北湖,360,29162,3,2,123.45,南,北,简装,中,32,NA,塔楼,6,5个月,1,0,1,1,VR看装修,2024-01-31,NA
汇悦天地二期 八号线塔子湖地铁口 视野开阔 老证,汇悦天地一二期,塔子湖,140,16367,3,1,85.54,东南,,精装,高,34,NA,板楼,6,11个月,1,1,0,1,VR看装修,2024-01-31,NA
此房满五，户型方正，自住精装，中楼层，看房方便,滨湖名都城,中南丁字桥,169,11923,3,2,141.75,东,西,简装,高,8,NA,板楼,4,8个月,1,0,1,1,VR看装修,2024-01-31,NA
万科汉口传奇唐樾精装四房业主诚心出售,万科汉口传奇唐樾,唐家墩,385,27069,4,2,142.23,南,,精装,低,47,NA,板楼,1,8个月,0,0,1,1,VR看装修,2024-01-31,NA
地铁口，楼层低，总价低，刚需必看。。。,赵家条,后湖,58,9649,2,1,60.11,南,,简装,中,6,NA,暂无数据,10,9个月,1,0,1,1,VR看装修,2024-01-31,NA
中间楼层 不临铁路 不临高架 看房方便,保利公园九里,老南湖,138,15657,3,2,88.14,南,北,精装,中,34,NA,板楼,11,NA,1,1,0,1,VR看装修,2024-01-31,NA
百瑞景六期 南北通透三居室 东边户满二年,百瑞景中央生活区六期,中南丁字桥,400,35206,4,2,113.62,南,北,简装,中,34,NA,板塔结合,6,8个月,0,1,0,1,NA,2024-01-31,NA
房东诚售邮电宿舍高层，采光好洗晒方便总价低,古井路100号,蔡甸城区,26,2871,3,2,90.57,南,北,简装,高,6,NA,暂无数据,6,6个月,0,1,0,1,VR看装修,2024-01-31,NA
二环好房推荐 业主自住装修中楼层 视野无遮挡随时可看,融侨悦府,青山,77,14929,1,1,51.58,北,,精装,低,51,NA,塔楼,4,NA,0,1,0,1,VR看装修,2024-01-31,NA
中南丁字桥 在建地铁11号线 弘业俊园三居室 中间楼层,弘业俊园,中南丁字桥,128,9865,3,2,129.76,西南,西,简装,中,27,NA,塔楼,11,7个月,0,0,1,1,NA,2024-01-31,NA
业主诚心出售 价格低 楼层好 采光好,狮城风华新都,街道口,190,13686,3,2,138.83,南,,其他,中,18,NA,板楼,8,8个月,0,0,1,1,VR看装修,2024-01-31,NA
东亭花园 中间楼层 低总价朝南三房,东亭花园,东湖东亭,118,12076,3,1,97.72,南,,简装,中,7,NA,板楼,1,3个月,1,0,1,1,NA,2024-01-31,NA
中南 小东门菜市场旁 物资公司宿舍,物资公司宿舍,中南丁字桥,69,13138,2,1,52.52,南,北,简装,中,5,NA,板楼,5,10个月,1,1,0,1,VR看装修,2024-01-31,NA
地铁口正硚口路交通便利环境好小高层业主诚心出售,东辉花园,宝丰崇仁,220,16189,3,2,135.9,南,北,简装,高,18,NA,板楼,4,8个月,1,0,1,1,VR看装修,2024-01-31,NA
大空逸优选 顶琇国际城一期 中层简装 东南朝向 老证,顶琇国际城,唐家墩,120,15063,2,2,79.67,东南,,其他,低,48,NA,板塔结合,0,3个月,0,0,1,1,NA,2024-01-31,NA
中间楼层 可看湖 老证 户型通透 无抵押,人信汇四期天誉,王家湾,176,15257,3,2,115.36,南,北,毛坯,中,48,NA,板楼,1,9个月,1,1,0,1,VR看装修,2024-01-31,NA
汤逊湖畔美院旁，环境优美，满二采光好，诚心出售,保利清能西海岸南区,藏龙岛,99,9976,3,2,99.24,南,北,毛坯,高,27,NA,板楼,1,5个月,0,1,0,1,VR看装修,2024-01-31,NA
新城璟悦城 老证 二居室 毛坯,新城璟悦城,四新,90,11512,2,2,78.18,南,北,毛坯,低,34,NA,板楼,8,NA,0,0,1,1,NA,2024-01-31,NA
中城国际精装两房 老证视野好南北向高楼层,中城国际,三阳路,193,24345,2,2,79.28,南,,精装,中,33,NA,板塔结合,4,NA,1,1,0,1,VR看装修,2024-01-31,NA
小区中间位置 老证 朝向南北 户型方正 业主诚心卖,宏宇绿色新都,后湖,132,10920,3,2,120.89,南,北,精装,中,10,NA,板楼,16,11个月,1,0,1,1,NA,2024-01-31,NA
徐东内环，中间栋，无遮挡，视野开阔，阳光直射时间长,兴华嘉天下,沙湖,184,19030,2,2,96.69,东南,,精装,中,24,NA,板楼,38,NA,1,0,1,1,VR看装修,2024-01-31,NA
二七路 黄埔小区 步梯大三房 老证 诚心急售 采光很好,武铁黄埔小区,二七,120,11771,3,2,101.95,南,,简装,中,7,NA,塔楼,1,9个月,1,1,0,1,VR看装修,2024-01-31,NA
近6号线 精装三房 满二 房东诚心卖,恒大嘉园四期,东西湖其它,100,9110,3,2,109.78,南,,精装,高,32,NA,塔楼,0,7个月,1,1,0,1,VR看装修,2024-01-31,NA
采光好，老证，随时看房，急急急急急。,首地云梦台,塔子湖,265,18166,3,2,145.88,南,北,其他,高,50,NA,板塔结合,1,NA,1,1,0,1,VR看装修,2024-01-31,NA
名城8090小3房 户型方正 拎包入住 诚心出售,名城8090,文化大道,80,8980,3,2,89.09,南,,精装,低,18,NA,板楼,2,8个月,0,0,1,1,VR看装修,2024-01-31,NA
光谷珞雄路地铁口 中医院小区南北通透小三房 好楼层,中医院小区,光谷广场,90,13069,3,1,68.87,南,北,简装,低,6,NA,板楼,12,NA,1,0,1,1,VR看装修,2024-01-31,NA
小区里不临街 小洋房 满五年 精装修 高楼层,保利清能西海岸北区,藏龙岛,109,12073,3,2,90.29,南,北,精装,高,11,NA,板楼,4,3个月,0,0,1,1,VR看装修,2024-01-31,NA
恒大龙城三期 次新房 经典户型 配套齐全,恒大龙城,盘龙城,88,7106,3,2,123.84,东南,,精装,中,14,NA,板楼,3,11个月,0,1,0,1,VR看装修,2024-01-31,NA
急急急 高区景观 全南全明户型 老证税少 业主诚售,阳光城十里新城,王家湾,125,13894,2,2,89.97,南,,其他,高,32,NA,板塔结合,1,NA,0,0,1,1,NA,2024-01-31,NA
临湖花园洋房，低公摊，小区绿化占比40%,未来海岸,盘龙城,59,4098,3,2,144,东,东南,其他,中,4,NA,板楼,0,5个月,0,0,1,1,VR看装修,2024-01-31,NA
汉口二环 精致大两房 价格实惠 南北通透边户 诚心卖！,福星城北区,长港路,101,11000,2,1,91.82,南,北,其他,高,45,NA,板塔结合,5,9个月,1,1,0,1,NA,2024-01-31,NA
颐和家园 电梯高层 业主诚心出售,颐和家园,将军路,67,10517,2,2,63.71,南,,简装,高,18,NA,板塔结合,24,NA,1,0,1,1,VR看装修,2024-01-31,NA
地铁口次新小区，二七滨江旁，园林小区,丹亭懿府,百步亭,142,14186,3,2,100.1,南,西南,毛坯,高,34,NA,板楼,3,5个月,1,1,0,1,VR看装修,2024-01-31,NA
双轨道交通 荣东社区通风采光好 双阳台 中间楼层,荣东社区,集贤,135,12174,3,1,110.9,南,,简装,中,8,NA,板楼,1,NA,1,1,0,1,VR看装修,2024-01-31,NA
一六一医院旁黄埔东宫 精装一居室低总价 内环优质好房,黄埔东宫,黄埔永清,75,14852,1,1,50.5,东,,其他,中,31,NA,塔楼,13,8个月,1,0,1,1,VR看装修,2024-01-31,NA
2号线地铁口四大房 满五唯一 户型方正南北通透 不临街,平安光谷春天,金融港,222,16531,4,2,134.3,南,北,其他,高,33,NA,板楼,1,8个月,1,1,0,1,VR看装修,2024-01-31,NA
常青花园五小区 老证 南北通透格局 诚意出售,常青花园五小区,常青花园,212,17798,3,2,119.12,南,北,简装,高,11,NA,板楼,3,10个月,1,0,1,1,VR看装修,2024-01-31,NA
央企保利，12号线地铁口，精装自住小两房，采光无遮挡,保利城三期,团结大道,135,17522,2,2,77.05,南,北,精装,低,29,NA,板塔结合,10,10个月,0,1,0,1,VR看装修,2024-01-31,NA
中北路 花园式小区 带集中供暖 适宜居家 户型方正,统建锦绣江南一期,中北路,263,20933,3,2,125.64,东南,,精装,低,18,NA,板塔结合,41,NA,1,0,1,1,VR看装修,2024-01-31,NA
11号线/阳光满屋/满二无贷/楼间距80米/,正荣府,四新,149,13943,3,2,106.87,南,,精装,高,34,NA,板塔结合,2,11个月,0,1,0,1,NA,2024-01-31,NA
正地铁口 精装修 一室一厅 好房 好出租 业主诚心卖,嘉园大厦,中南丁字桥,75,13308,1,1,56.36,北,,精装,低,25,NA,塔楼,6,NA,1,0,1,1,NA,2024-01-31,NA
星悦城一期 精装3房 老证无贷 随时看房 对博雅二,星悦城一期,塔子湖,147,15421,3,2,95.33,南,,精装,低,34,NA,板塔结合,20,NA,1,1,0,1,VR看装修,2024-01-31,NA
印力中心 老证 近地铁，采光好 诚心卖,印力中心,青山,153,16946,2,2,90.29,南,,其他,高,37,NA,板塔结合,2,8个月,1,1,0,1,VR看装修,2024-01-31,NA
金沙泊岸 8栋 湖景大两房 视野无遮挡,金沙泊岸,沙湖,255,25475,2,2,100.1,南,,毛坯,高,53,NA,塔楼,20,NA,1,1,0,1,VR看装修,2024-01-31,NA
墨水湖边老证南北通透 大三房 有公立幼儿园,卧龙墨水湖边,四新,153,12776,3,2,119.76,南,北,毛坯,低,45,NA,板塔结合,52,NA,0,1,0,1,VR看装修,2024-01-31,NA
老证 满五唯一 自住装修 诚意出售,长江委协昌里小区,育才花桥,126,13423,3,1,93.87,西南,,精装,低,20,NA,塔楼,6,8个月,1,0,1,1,VR看装修,2024-01-31,NA
小东门7号地铁口独立门户复式楼带小花园院子诚心出售,二药厂宿舍,中南丁字桥,47,13691,2,1,34.33,东北,,简装,低,1,NA,暂无数据,20,6个月,1,0,1,1,NA,2024-01-31,NA
阅璟台精装小三居 中间楼层房本满二 无贷款 湖景好房,新城阅璟台,白沙洲,104,10240,3,2,101.57,南,北,精装,中,55,NA,板楼,9,2个月,0,1,0,1,VR看装修,2024-01-31,NA
次新小区未入住 带车位 业主诚心出售 价格可谈,金地天悦二期,关西长职,192,19193,3,2,100.04,南,,精装,中,26,NA,板塔结合,11,10个月,0,1,0,1,VR看装修,2024-01-31,NA
华锦框架结构大三房 明厨明卫 中间楼层 带暖气 无个税,华锦花园二期,南湖沃尔玛,272,21391,3,2,127.16,南,北,精装,中,7,NA,板塔结合,0,3个月,1,0,1,1,NA,2024-01-31,NA
中间楼层，明厨明卫，近商圈，出行方便,玫瑰苑G区,王家湾,90,8314,3,2,108.26,南,北,其他,中,7,NA,板楼,0,11个月,1,0,1,1,VR看装修,2024-01-31,NA
王家湾生活区 精装良房 户型方正 老证,王家湾中央生活区,王家湾,128,15760,2,2,81.22,南,,精装,中,31,NA,板楼,9,7个月,1,1,0,1,NA,2024-01-31,NA
