property_title,property_name,property_region,price_ttl,price_sqm,houseinfo,followinfo,near_subway,two_year,taxfree,haskey,vr,create_date
汉口湖畔不临马路，东南朝向，中间楼层,汉口湖畔,盘龙城,65,"7,514元/平",2室2厅 | 86.51平米 | 南 | 毛坯 | 中楼层(共25层) | 板楼,4人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
优质好房 大兴路+一初 中间楼层 釆光充足 两房朝南,馨苑小区,杨汊湖,98,"10,827元/平",2室2厅 | 90.52平米 | 南 | 精装 | 中楼层(共7层) | 塔楼,1人关注 / 5个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
2017年装修完成 的，精装修，家电全部留下，诚心出售,圣特立国际花园,汉南其它,68,"5,610元/平",3室2厅 | 121.23平米 | 南 | 精装 | 中楼层(共11层) | 暂无数据,1人关注 / 10个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
双阳台 中间楼层采光好 视野开阔 户型方正 公摊小,阳光佳苑,庙山,63,"7,159元/平",2室2厅 | 88.01平米 | 南 | 毛坯 | 高楼层(共31层) | 板塔结合,4人关注 / 一年前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
双轨大三房。生活便利，配套设施齐全。,歌林花园,盘龙城,77.5,"6,206元/平",3室2厅 | 124.88平米 | 南 西南 东南 | 简装 | 低楼层(共23层) | 塔楼,6人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
南北通透三房 小区里面不临街 安静 满五唯一税少,中建福地星城,珞狮南路,177,"19,345元/平",3室2厅 | 91.5平米 | 南 北 | 精装 | 低楼层(共32层) | 板塔结合,6人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
临江好宅 环境宜人 风景优美 户型方正 品质两房,三和名仕城,蔡甸城区,35,"4,281元/平",2室1厅 | 81.76平米 | 南 | 精装 | 低楼层(共27层) | 板楼,15人关注 / 一年前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
南湖边保利蓝海郡 精致小三房 中间楼层 满五唯一,保利蓝海郡,卓刀泉,169,"18,448元/平",3室2厅 | 91.61平米 | 南 | 精装 | 33层 | 板楼,3人关注 / 6个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
央企保利开发 清水毛坯 小高层边户业主诚心出售,保利香颂一期,王家湾,172,"16,264元/平",3室2厅 | 105.76平米 | 南 北 | 毛坯 | 低楼层(共18层) | 板楼,3人关注 / 10个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
老证精装，成熟小区，配套齐全，双轨交汇,龙城.天居园,盘龙城,93,"7,162元/平",4室2厅 | 129.87平米 | 南 北 | 精装 | 高楼层(共6层) | 塔楼,5人关注 / 6个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
居家自住精装9米长大阳台看湖高层全南朝向大三房,福星惠誉水岸星城B区,沙湖,310,"22,811元/平",3室2厅 | 135.9平米 | 南 | 精装 | 高楼层(共32层) | 板楼,12人关注 / 3个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
出售世纪广场边二房，中间楼层采光好，看房预约,中央大街,纸坊,70,"7,938元/平",2室2厅 | 88.19平米 | 南 | 简装 | 中楼层(共25层) | 板楼,0人关注 / 一年前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
保利香颂二期 房东二次装修 老证 诚心出售,保利香颂二期,王家湾,185,"16,750元/平",3室2厅 | 110.45平米 | 南 | 精装 | 低楼层(共25层) | 板塔结合,4人关注 / 6个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
人信太子湾 次新房 纯毛坯 随时看房,人信太子湾,沌口,102,"11,202元/平",3室2厅 | 91.06平米 | 东南 | 毛坯 | 低楼层(共33层) | 板塔结合,3人关注 / 11个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
老证，不临街，中高楼层，采光好无遮挡，诚心出售,越秀星汇君泊,塔子湖,152,"16,564元/平",2室1厅 | 91.77平米 | 南 | 精装 | 高楼层(共32层) | 板塔结合,9人关注 / 一年前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
三环内紫云府地铁商场旁带装修 诚心出售,华润紫云府二期,白沙洲,135,"14,992元/平",3室1厅 | 90.05平米 | 东南 | 精装 | 中楼层(共34层) | 塔楼,4人关注 / 4个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
税费少-精装修-配套全-小区环境好-接孩子方便,中建汤逊湖壹号,文化大道,95,"9,794元/平",3室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共33层) | 板塔结合,1人关注 / 6个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
万达商圈 恒大名都 精装三房 拎包即住 随时看 急售,恒大名都,盘龙城,83,"7,218元/平",3室2厅 | 115平米 | 南 北 | 精装 | 32层 | 板楼,3人关注 / 3个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
楼层好，视野开阔，采光充足，珞狮南路低公摊两房诚售,珞珈雅苑,珞狮南路,119,"13,310元/平",2室2厅 | 89.41平米 | 南 | 简装 | 高楼层(共32层) | 板楼,7人关注 / 9个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
领秀城满五唯一经典三房两卫双阳台可上卓小华一,领秀城,卓刀泉,208,"20,481元/平",3室2厅 | 101.56平米 | 南 | 精装 | 中楼层(共32层) | 板塔结合,3人关注 / 3个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
精装修婚房 三房两卫三阳台 证满税少 通透边户采光好,中城时代一期,盘龙城,75,"8,958元/平",3室1厅 | 83.73平米 | 南 | 精装 | 高楼层(共6层) | 板楼,1人关注 / 5个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
开发商精装修基本没入住 满两年税费少 随时看房,当代国际城,金融港,200,"17,832元/平",3室2厅 | 112.16平米 | 南 北 | 精装 | 中楼层(共30层) | 板楼,8人关注 / 8个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
东方莱茵无户口 不临街通透电梯大三房带暖气随时看房,东方莱茵,老南湖,340,"25,341元/平",3室2厅 | 134.17平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,3人关注 / 5个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
急 急 急海昌一期 公园湖景房 九十万,碧桂园海昌天澜,将军路,90,"9,048元/平",3室1厅 | 99.48平米 | 南 东南 | 精装 | 低楼层(共32层) | 板楼,5人关注 / 7个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
店长推荐 小区中间位置户型房正，小三房地铁口,南国花郡,老南湖,135,"15,201元/平",3室2厅 | 88.81平米 | 南 | 简装 | 中楼层(共18层) | 板楼,3人关注 / 11个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
万达商圈，精装修两房，中间楼层，朝南，老证少税,08经典,盘龙城,49,"8,864元/平",2室1厅 | 55.28平米 | 南 | 精装 | 高楼层(共18层) | 板楼,11人关注 / 一年前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
品牌地产开发，中海品质物业，生活配套设施成熟完善,中海光谷锦城,金融港,140,"12,763元/平",3室2厅 | 109.7平米 | 南 北 | 精装 | 高楼层(共32层) | 板楼,4人关注 / 7个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
楼层好，视野开阔，采光充足，珞狮南路低公摊两房诚售,珞珈雅苑,珞狮南路,119,"13,310元/平",2室2厅 | 89.41平米 | 南 | 简装 | 高楼层(共32层) | 板楼,7人关注 / 9个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
七星天兴花园总价低，刚需适合，产证满两年后期税费少,七星天兴花园,青山,42,"8,741元/平",1室1厅 | 48.05平米 | 南 | 简装 | 中楼层(共18层) | 塔楼,14人关注 / 3个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
优质好房 大兴路+一初 中间楼层 釆光充足 两房朝南,馨苑小区,杨汊湖,98,"10,827元/平",2室2厅 | 90.52平米 | 南 | 精装 | 中楼层(共7层) | 塔楼,1人关注 / 5个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
税费少-精装修-配套全-小区环境好-接孩子方便,中建汤逊湖壹号,文化大道,95,"9,794元/平",3室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共33层) | 板塔结合,1人关注 / 6个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
满庭春 自住精装三居室 小高层集中供暖 诚心出售,光谷满庭春MOMA,光谷东,205,"16,340元/平",3室2厅 | 125.46平米 | 南 北 | 精装 | 低楼层(共11层) | 板楼,10人关注 / 6个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
精装修婚房 三房两卫三阳台 证满税少 通透边户采光好,中城时代一期,盘龙城,75,"8,958元/平",3室1厅 | 83.73平米 | 南 | 精装 | 高楼层(共6层) | 板楼,1人关注 / 5个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
三环内 地铁口 此房满五唯一 诚心出售,荷景苑,白沙洲,95,"10,507元/平",2室2厅 | 90.42平米 | 东南 | 精装 | 高楼层(共18层) | 板楼,3人关注 / 8个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
星悦城华廷 55万婚装大四房 满五唯一 采光好 视野好,星悦城华廷,塔子湖,235,"17,217元/平",4室2厅 | 136.5平米 | 南 北 | 精装 | 中楼层(共33层) | 板塔结合,108人关注 / 10个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
国企华发 高层看江 户型方正 南北双阳台 老证税费低,华发外滩首府,黄埔永清,616,"43,463元/平",3室2厅 | 141.73平米 | 南 | 毛坯 | 中楼层(共45层) | 板楼,4人关注 / 4个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
三房纯西边户 采光好 精装修 老证 房东诚心出售,东建金海湾,金银湖,89,"7,822元/平",3室2厅 | 113.79平米 | 南 | 精装 | 低楼层(共33层) | 板塔结合,0人关注 / 4个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
光谷一路 地铁2号线 城市之光 小高层 一厅两户,城市之光,光谷东,118,"12,308元/平",2室1厅 | 95.88平米 | 南 | 精装 | 中楼层(共11层) | 板楼,11人关注 / 10个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
精装满二，全新未住，刚需三居室，无尾款,万科保利联投理想星光,黄家湖,93,"10,232元/平",3室2厅 | 90.9平米 | 南 北 | 精装 | 中楼层(共34层) | 板楼,56人关注 / 8个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
和昌都汇华府精装大两房 诚心出售 楼层好,和昌都汇华府,四新,99,"11,130元/平",2室2厅 | 88.95平米 | 南 | 精装 | 中楼层(共32层) | 板塔结合,1人关注 / 一年前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
蔡甸同馨花园 电梯小高层 精装修可拎包入住,同馨花园,蔡甸城区,65,"5,614元/平",3室1厅 | 115.79平米 | 南 北 | 精装 | 低楼层(共18层) | 塔楼,1人关注 / 4个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
佛祖岭板块，央企次新楼盘，品质方正大三房诚意出售,中海光谷锦城,金融港,155,"14,284元/平",3室2厅 | 108.52平米 | 南 北 | 精装 | 低楼层(共33层) | 板楼,1人关注 / 10个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
歌林花园 精装修两房 满五唯一,歌林花园,盘龙城,59.9,"7,685元/平",2室1厅 | 77.95平米 | 东南 南 | 精装 | 中楼层(共18层) | 板楼,13人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
中高层精装修 有學位 南北通透三房视野开阔 采光充足,新世界常青花园雁溪山,常青花园,190,"19,659元/平",3室2厅 | 96.65平米 | 南 北 | 精装 | 高楼层(共18层) | 板塔结合,1人关注 / 4个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
产证满二年，中间楼层不临街，视野开阔，带衣帽间,联想江城雅居,关山大道,298,"22,645元/平",3室2厅 | 131.6平米 | 南 北 | 简装 | 中楼层(共32层) | 板塔结合,2人关注 / 4个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
急售证满大四房，一线湖景，金地品质楼盘。,金地中法仟佰汇,蔡甸城区,96.5,"6,840元/平",4室2厅 | 141.09平米 | 南 | 精装 | 高楼层(共47层) | 板楼,4人关注 / 9个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
老证精装，成熟小区，配套齐全，双轨交汇,龙城.天居园,盘龙城,93,"7,162元/平",4室2厅 | 129.87平米 | 南 北 | 精装 | 高楼层(共6层) | 塔楼,5人关注 / 6个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
居家自住精装9米长大阳台看湖高层全南朝向大三房,福星惠誉水岸星城B区,沙湖,310,"22,811元/平",3室2厅 | 135.9平米 | 南 | 精装 | 高楼层(共32层) | 板楼,12人关注 / 3个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
出售世纪广场边二房，中间楼层采光好，看房预约,中央大街,纸坊,70,"7,938元/平",2室2厅 | 88.19平米 | 南 | 简装 | 中楼层(共25层) | 板楼,0人关注 / 一年前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
保利香颂二期 房东二次装修 老证 诚心出售,保利香颂二期,王家湾,185,"16,750元/平",3室2厅 | 110.45平米 | 南 | 精装 | 低楼层(共25层) | 板塔结合,4人关注 / 6个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
人信太子湾 次新房 纯毛坯 随时看房,人信太子湾,沌口,102,"11,202元/平",3室2厅 | 91.06平米 | 东南 | 毛坯 | 低楼层(共33层) | 板塔结合,3人关注 / 11个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
老证 精装三房 中高楼层采光好 诚心出售,华润置地中央公园二期,七里庙,148,"16,472元/平",3室2厅 | 89.85平米 | 南 | 精装 | 高楼层(共32层) | 板塔结合,2人关注 / 3个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
洋房清水毛坯三房，满二年，环境贼好,长投绿城兰园,藏龙岛,95,"10,285元/平",3室2厅 | 92.37平米 | 南 北 | 毛坯 | 低楼层(共11层) | 板楼,6人关注 / 6个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
32万精装，老证，无抵押，楼层好，诚心出售，随时看房,融创公园壹号三期,塔子湖,196,"18,717元/平",3室2厅 | 104.72平米 | 南 | 精装 | 高楼层(共41层) | 板塔结合,14人关注 / 8个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
央企保利开发 清水毛坯 小高层边户业主诚心出售,保利香颂一期,王家湾,172,"16,264元/平",3室2厅 | 105.76平米 | 南 北 | 毛坯 | 低楼层(共18层) | 板楼,3人关注 / 10个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
楼层好，户型方正，南北通透，诚信出售，满二税费少。,开来都市丰景,四新,140,"12,564元/平",3室1厅 | 111.43平米 | 南 北 | 毛坯 | 中楼层(共40层) | 板塔结合,4人关注 / 4个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
开发商精装，中间楼栋，采光通风性好，诚心出售,绿地国际理想城四期,光谷南,148,"15,306元/平",3室2厅 | 96.7平米 | 南 北 | 其他 | 高楼层(共33层) | 板楼,5人关注 / 6个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
老证，不临街，中高楼层，采光好无遮挡，诚心出售,越秀星汇君泊,塔子湖,152,"16,564元/平",2室1厅 | 91.77平米 | 南 | 精装 | 高楼层(共32层) | 板塔结合,9人关注 / 一年前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
精装修婚房 三房两卫三阳台 证满税少 通透边户采光好,中城时代一期,盘龙城,75,"8,958元/平",3室1厅 | 83.73平米 | 南 | 精装 | 高楼层(共6层) | 板楼,1人关注 / 5个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
原来遇到对的人一切都会越来越好的 ！！！,绿景苑港东名居一期,团结大道,88,"11,451元/平",2室1厅 | 76.85平米 | 南 | 精装 | 中楼层(共34层) | 板楼,10人关注 / 8个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
央企开发花园小区，精装品质三居，老证税少诚售。,华润置地中央公园二期,七里庙,140,"15,582元/平",3室2厅 | 89.85平米 | 南 | 精装 | 低楼层(共33层) | 板塔结合,1人关注 / 3个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
经典三房总价低，楼栋好，采光好,新城璟棠,四新,150,"15,516元/平",3室2厅 | 96.68平米 | 东南 南 | 精装 | 高楼层(共32层) | 板楼,3人关注 / 4个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
次新毛坯房，户型方正实用，杨汊湖地铁6号线。,福星华府誉境,杨汊湖,95,"13,875元/平",2室2厅 | 68.47平米 | 西南 | 毛坯 | 高楼层(共34层) | 塔楼,2人关注 / 8个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
清江山水1.3期 2014年交房 洋房区域 中间楼层,清江山水,民族大道,188,"18,235元/平",3室2厅 | 103.1平米 | 南 | 精装 | 低楼层(共15层) | 板楼,0人关注 / 8个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
临地铁八大家红坊里建二商圈配套齐全交通方便采光充足,八大家花园38街坊,青山,125,"16,094元/平",2室1厅 | 77.67平米 | 南 | 简装 | 高楼层(共29层) | 板塔结合,0人关注 / 3个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
美联奥林匹克花园五期南北通透的格局诚意出售,美联奥林匹克花园五期,常青花园,129,"11,342元/平",3室2厅 | 113.74平米 | 南 北 | 简装 | 低楼层(共33层) | 板楼,9人关注 / 8个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
大三房，电梯房，不临街，无抵押，满五年税费少,都市桃源,老南湖,275,"22,769元/平",3室2厅 | 120.78平米 | 南 北 | 简装 | 高楼层(共12层) | 板楼,1人关注 / 6个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
顶琇D区 精装修三房 老证 产权清晰 随时可看,顶琇国际城,唐家墩,168,"17,143元/平",3室2厅 | 98平米 | 南 | 精装 | 高楼层(共47层) | 板楼,8人关注 / 4个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
金地自在城 双地铁 临永旺 精装 满二 好楼层视野开阔,金地自在城K2,团结大道,125,"16,088元/平",2室2厅 | 77.7平米 | 南 | 精装 | 高楼层(共47层) | 塔楼,12人关注 / 9个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
洪山外国语旁低总价通透大三房，公摊小有暖气业主诚售,桂子花园一期,卓刀泉,150,"11,067元/平",3室2厅 | 135.54平米 | 南 北 | 简装 | 中楼层(共7层) | 塔楼,5人关注 / 5个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
店长强力推荐，业主诚意出售，后期税费低！,万科汉阳国际B区,王家湾,125,"13,614元/平",3室1厅 | 91.82平米 | 南 | 精装 | 低楼层(共18层) | 板楼,24人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
产证满2年，小区中间位置不临路，三期精装中层采光好,旭辉御府,金融港,122,"13,457元/平",3室2厅 | 90.66平米 | 南 | 精装 | 中楼层(共27层) | 板楼,5人关注 / 9个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
保利天悦 南北3房 景观楼层 精装修 业主诚心出售,保利时代南区,民族大道,336,"28,819元/平",3室2厅 | 116.59平米 | 南 北 | 精装 | 高楼层(共42层) | 板塔结合,7人关注 / 7个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
东边户带大阳台，老证无贷款，中高楼层，视野开阔。,银湖翡翠二期,金银湖,156,"11,883元/平",3室2厅 | 131.29平米 | 南 北 | 毛坯 | 高楼层(共11层) | 板楼,31人关注 / 一年前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
开发商精装交付产证满二税费低视野开阔采光佳诚心出售,清能清江锦城珂园,白沙洲,128,"15,953元/平",2室2厅 | 80.24平米 | 南 北 | 精装 | 高楼层(共34层) | 板楼,0人关注 / 9个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
三环内世茂云锦樱海园，方正户型，诚心出售随时可看,世茂云锦樱海园,白沙洲,145,"15,272元/平",3室2厅 | 94.95平米 | 南 | 毛坯 | 高楼层(共32层) | 板楼,1人关注 / 3个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
南湖沃尔玛 通透两居室 产证满二 稀有清水毛坯,水域天际,南湖沃尔玛,246,"27,775元/平",2室1厅 | 88.57平米 | 南 北 | 毛坯 | 中楼层(共11层) | 板楼,16人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
千亿关山 中建开发 通透3房2卫 中高层可看汤逊湖 满二,中建大公馆三四期,民族大道,251,"21,683元/平",3室2厅 | 115.76平米 | 南 北 | 简装 | 高楼层(共47层) | 板楼,13人关注 / 6个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
证满五年、学WEI都在、中高楼层、自住装修看房方便，,清江山水,民族大道,188,"17,703元/平",3室2厅 | 106.2平米 | 南 北 | 精装 | 高楼层(共32层) | 板塔结合,6人关注 / 7个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
清江山水，小三房。满五唯一。没有贷款。,清江山水,民族大道,118,"15,065元/平",3室2厅 | 78.33平米 | 南 西 | 简装 | 低楼层(共32层) | 板塔结合,0人关注 / 6个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
（贝壳店长为您优选）推荐好房，地铁口配套齐全,虹顶家园,老南湖,330,"21,987元/平",4室2厅 | 150.09平米 | 南 北 | 精装 | 中楼层(共11层) | 塔楼,3人关注 / 5个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
荣校教师小区，南北通透三房，中间楼层，满五年精装修,荣校教师小区,虎泉杨家湾,168,"17,055元/平",3室2厅 | 98.51平米 | 南 北 | 精装 | 中楼层(共7层) | 板楼,3人关注 / 4个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
房子老证，高楼层，视野开阔，一天未住过，价格可谈,顶琇国际城,唐家墩,168,"17,036元/平",3室2厅 | 98.62平米 | 南 北 | 精装 | 高楼层(共47层) | 板楼,4人关注 / 8个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
中间层视野采光罕逢对手，满两年， 没用额，密码锁,中建大公馆二期,民族大道,202,"20,168元/平",3室2厅 | 100.16平米 | 南 北 | 毛坯 | 中楼层(共48层) | 板塔结合,3人关注 / 9个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
精装修3室2厅，中间楼层，交通便利,实地君兰汀岸,沌口,59.8,"6,657元/平",3室2厅 | 89.84平米 | 南 北 | 精装 | 中楼层(共33层) | 板楼,9人关注 / 5个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
原来遇到对的人一切都会越来越好的 ！！！,绿景苑港东名居一期,团结大道,88,"11,451元/平",2室1厅 | 76.85平米 | 南 | 精装 | 中楼层(共34层) | 板楼,10人关注 / 8个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
央企开发花园小区，精装品质三居，老证税少诚售。,华润置地中央公园二期,七里庙,140,"15,582元/平",3室2厅 | 89.85平米 | 南 | 精装 | 低楼层(共33层) | 板塔结合,1人关注 / 3个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
国企华发 高层看江 户型方正 南北双阳台 老证税费低,华发外滩首府,黄埔永清,616,"43,463元/平",3室2厅 | 141.73平米 | 南 | 毛坯 | 中楼层(共45层) | 板楼,4人关注 / 4个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
东边户带大阳台，老证无贷款，中高楼层，视野开阔。,银湖翡翠二期,金银湖,156,"11,883元/平",3室2厅 | 131.29平米 | 南 北 | 毛坯 | 高楼层(共11层) | 板楼,31人关注 / 一年前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
证满五年、学WEI都在、中高楼层、自住装修看房方便，,清江山水,民族大道,188,"17,703元/平",3室2厅 | 106.2平米 | 南 北 | 精装 | 高楼层(共32层) | 板塔结合,6人关注 / 7个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
清江山水，小三房。满五唯一。没有贷款。,清江山水,民族大道,118,"15,065元/平",3室2厅 | 78.33平米 | 南 西 | 简装 | 低楼层(共32层) | 板塔结合,0人关注 / 6个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
（贝壳店长为您优选）推荐好房，地铁口配套齐全,虹顶家园,老南湖,330,"21,987元/平",4室2厅 | 150.09平米 | 南 北 | 精装 | 中楼层(共11层) | 塔楼,3人关注 / 5个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
关山大道金地格林东郡 中间位置 毛坯次新 满五唯一,金地格林东郡,民族大道,220,"18,901元/平",3室2厅 | 116.4平米 | 南 北 | 毛坯 | 中楼层(共34层) | 板塔结合,17人关注 / 4个月以前发布,NA,NA,房本满五年,随时看房,VR看装修,2024-01-31
店长推荐省建设厅、武小566二房朝南、诚心卖,省建设厅宿舍,中南丁字桥,276,"34,342元/平",2室1厅 | 80.37平米 | 南 北 | 简装 | 中楼层(共5层) | 板楼,59人关注 / 3个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
关山主轴 配套成熟 高品质小区 楼层好 总价低,保利时代南区,民族大道,175,"23,704元/平",2室2厅 | 73.83平米 | 南 | 精装 | 中楼层(共40层) | 板塔结合,4人关注 / 5个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
业主诚心出售 七里庙地铁口 次新小区 老证,钰龙湾丰园,七里庙,95,"12,633元/平",2室2厅 | 75.2平米 | 南 北 | 毛坯 | 高楼层(共45层) | 板楼,1人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
社区环境优美 楼层高采光好 总价低诚心出售,南国SOHO,南湖沃尔玛,73,"10,704元/平",2室1厅 | 68.2平米 | 北 | 其他 | 高楼层(共25层) | 塔楼,0人关注 / 3个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
梦时代 亚贸 两室一厅 总价低 中间楼层,石牌园社区,街道口,70,"14,088元/平",2室1厅 | 49.69平米 | 南 | 精装 | 低楼层(共7层) | 板楼,2人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
楼层好 采光好 精装修 直接拎包入住,保利拉菲,卓刀泉,135,"17,839元/平",2室1厅 | 75.68平米 | 南 北 | 精装 | 中楼层(共31层) | 板楼,6人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
精装2房 看湖视野 方正户型 自住家具,世茂林屿岸,文化大道,96,"11,634元/平",2室2厅 | 82.52平米 | 南 | 精装 | 高楼层(共34层) | 板塔结合,3人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,VR看装修,2024-01-31
70年产权小户型两房商品房，即买即住，租金可低月供。,纽宾凯汉city国际社区蜜城,四新,65,"11,416元/平",2室1厅 | 56.94平米 | 南 | 精装 | 中楼层(共43层) | 板塔结合,7人关注 / 3个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
